iter	Passed	Remaining
0	135	135746
1	138	68893
2	140	46554
3	142	35366
4	144	28786
5	146	24306
6	152	21601
7	157	19562
8	159	17546
9	162	16089
10	164	14758
11	165	13614
12	166	12655
13	169	11937
14	173	11370
15	175	10799
16	178	10292
17	180	9871
18	183	9470
19	185	9076
20	186	8712
21	189	8405
22	190	8112
23	192	7847
24	196	7650
25	198	7431
26	200	7225
27	202	7028
28	204	6843
29	206	6662
30	208	6505
31	209	6344
32	211	6196
33	214	6092
34	216	5962
35	217	5837
36	220	5736
37	222	5627
38	224	5519
39	226	5430
40	227	5331
41	229	5236
42	232	5166
43	233	5079
44	235	5000
45	237	4930
46	239	4858
47	244	4851
48	246	4781
49	248	4715
50	250	4660
51	252	4600
52	253	4537
53	256	4488
54	257	4430
55	259	4377
56	262	4340
57	264	4298
58	267	4265
59	269	4225
60	271	4183
61	274	4158
62	277	4121
63	279	4083
64	281	4048
65	283	4012
66	285	3978
67	288	3948
68	289	3911
69	291	3877
70	293	3843
71	295	3810
72	298	3792
73	300	3759
74	302	3725
75	303	3689
76	306	3673
77	308	3646
78	310	3622
79	312	3598
80	314	3567
81	315	3536
82	317	3506
83	319	3481
84	320	3455
85	323	3433
86	325	3411
87	326	3387
88	328	3367
89	330	3345
90	332	3324
91	335	3306
92	337	3287
93	338	3265
94	340	3243
95	343	3230
96	344	3210
97	346	3190
98	349	3181
99	351	3163
100	353	3142
101	356	3136
102	358	3119
103	360	3101
104	362	3085
105	364	3070
106	365	3052
107	367	3034
108	369	3017
109	370	2999
110	372	2984
111	374	2969
112	376	2951
113	377	2934
114	380	2931
115	382	2916
116	383	2897
117	386	2889
118	388	2877
119	390	2864
120	392	2853
121	394	2838
122	396	2826
123	398	2816
124	400	2806
125	403	2796
126	404	2782
127	406	2770
128	408	2756
129	409	2742
130	412	2736
131	414	2724
132	416	2712
133	418	2703
134	420	2691
135	421	2678
136	423	2667
137	425	2656
138	427	2645
139	429	2635
140	431	2625
141	432	2612
142	434	2601
143	436	2592
144	437	2582
145	439	2572
146	442	2566
147	444	2556
148	445	2545
149	447	2535
150	449	2526
151	451	2516
152	453	2508
153	454	2499
154	456	2491
155	458	2480
156	460	2471
157	461	2461
158	463	2450
159	465	2441
160	466	2429
161	467	2419
162	469	2409
163	470	2399
164	473	2395
165	475	2387
